iter	Passed	Remaining
446	1132	3935
447	1135	3932
448	1137	3927
449	1139	3924
450	1141	3921
451	1143	3916
452	1145	3912
453	1147	3907
454	1149	3903
455	1151	3899
456	1153	3895
457	1155	3890
458	1158	3888
459	1161	3887
460	1163	3883
461	1165	3879
462	1167	3877
463	1170	3873
464	1172	3869
465	1174	3866
466	1176	3863
467	1179	3859
468	1181	3855
469	1183	3851
470	1185	3847
471	1187	3843
472	1189	3840
473	1191	3837
474	1194	3833
475	1196	3829
476	1198	3825
477	1200	3821
478	1202	3818
479	1204	3814
480	1206	3810
481	1208	3806
482	1210	3802
483	1212	3798
484	1214	3794
485	1216	3790
486	1218	3787
487	1221	3783
488	1223	3779
489	1225	3776
490	1227	3772
491	1229	3768
492	1231	3764
493	1233	3760
494	1235	3756
495	1237	3753
496	1239	3749
497	1241	3745
498	1244	3742
499	1246	3738
500	1248	3735
501	1250	3732
502	1252	3728
503	1255	3725
504	1257	3721
505	1259	3718
506	1261	3715
507	1263	3712
508	1266	3709
509	1268	3706
510	1271	3704
511	1273	3701
512	1275	3697
513	1278	3694
514	1280	3691
515	1283	3692
516	1286	3691
517	1289	3689
518	1292	3687
519	1295	3686
520	1298	3685
521	1301	3684
522	1303	3681
523	1306	3679
524	1309	3678
525	1311	3676
526	1313	3672
527	1315	3668
528	1318	3666
529	1320	3663
530	1322	3659
531	1324	3656
532	1327	3652
533	1329	3649
534	1331	3645
535	1333	3641
536	1335	3638
537	1337	3634
538	1339	3631
539	1342	3628
540	1344	3624
541	1346	3620
542	1348	3617
543	1350	3615
544	1353	3612
545	1355	3609
546	1357	3605
547	1359	3602
548	1361	3599
549	1364	3596
550	1366	3593
551	1368	3589
552	1370	3586
553	1372	3582
554	1374	3579
555	1376	3575
556	1378	3572
557	1381	3569
558	1383	3566
559	1385	3563
560	1387	3560
561	1389	3556
562	1392	3553
563	1394	3549
564	1396	3546
565	1398	3543
566	1400	3540
567	1402	3536
568	1404	3533
569	1407	3530
570	1409	3526
571	1411	3523
572	1413	3520
573	1415	3517
574	1417	3513
575	1420	3510
576	1422	3507
577	1424	3503
578	1426	3500
579	1428	3496
580	1430	3494
581	1432	3490
582	1434	3487
583	1436	3483
584	1438	3480
585	1441	3477
586	1443	3473
587	1445	3470
