iter	Logloss
0	0.691170892
1	0.6895196659
2	0.6877398957
3	0.6854919775
4	0.6840516072
5	0.6824899219
6	0.6813393376
7	0.6796460657
8	0.6781514917
9	0.6765360938
10	0.6746725493
11	0.6731866006
12	0.6713366221
13	0.6698710314
14	0.6685276833
15	0.6671738376
16	0.6654475868
17	0.6642422441
18	0.6625268076
19	0.6614458831
20	0.6603580959
21	0.6592420715
22	0.6583223198
23	0.6570856983
24	0.655997446
25	0.6550308154
26	0.6543448916
27	0.6534817954
28	0.6526583689
29	0.651743098
30	0.6508100376
31	0.649788281
32	0.6487507723
33	0.6478167814
34	0.6469144143
35	0.6461798201
36	0.6453658578
37	0.6448106628
38	0.6441459599
39	0.643553611
40	0.6428098655
41	0.6421175635
42	0.6410850974
43	0.6405089906
44	0.6399246013
45	0.6388853221
46	0.6384290918
47	0.637553964
48	0.6368354327
49	0.6358589182
50	0.6348325173
51	0.6339033847
52	0.6333572386
53	0.6325138336
54	0.6318126357
55	0.6311789162
56	0.630479683
57	0.6299485165
58	0.629027936
59	0.628544974
60	0.6278559479
61	0.6274973296
62	0.6271395376
63	0.6263972685
64	0.6260050851
65	0.6252760059
66	0.6247786076
67	0.6242938121
68	0.623670709
69	0.6231641506
70	0.62241548
71	0.6220467341
72	0.621851585
73	0.6211138067
74	0.6208250584
75	0.6206236821
76	0.6201897546
77	0.6197384009
78	0.6194574757
79	0.6189768579
80	0.6187152462
81	0.6182075631
82	0.6175087603
83	0.6169660029
84	0.6160992905
85	0.6158166773
86	0.6155878938
87	0.6152497114
88	0.6148677392
89	0.6143195681
90	0.6137187913
91	0.6135471505
92	0.6130586944
93	0.6127117766
94	0.6122625332
95	0.6119651484
96	0.6115945729
97	0.6111994322
98	0.6109027494
99	0.6107610436
100	0.6104716859
101	0.6100669845
102	0.6097575133
103	0.6095231465
104	0.6093297543
105	0.6090437865
106	0.6086358817
107	0.6081695945
108	0.6078124786
109	0.6076046569
110	0.6067984777
111	0.6060862143
112	0.6057184707
113	0.6054372587
114	0.6052471368
115	0.6048466719
116	0.6043660396
117	0.6042611399
118	0.6039362048
119	0.6038079746
120	0.6035973172
121	0.6033258703
122	0.6030827008
123	0.6028915863
124	0.6026214754
125	0.6022466165
126	0.6017286371
127	0.6014103286
128	0.6011695997
129	0.6009133181
130	0.6006927343
131	0.6002361449
132	0.5999261426
133	0.5995838763
134	0.5991848015
135	0.5986680384
136	0.5982338395
137	0.5980524752
138	0.5977584872
139	0.5974933527
140	0.5973964978
141	0.5971762673
142	0.5969043777
143	0.5967112903
144	0.5965098269
145	0.5961727199
146	0.5959894462
147	0.595926811
148	0.5952895668
149	0.5949934399
150	0.5947439766
151	0.5938889554
152	0.5937442666
153	0.5935732475
154	0.5933062434
155	0.5931477364
156	0.5929595485
157	0.5925919109
158	0.5922428992
159	0.5917657934
160	0.5917007916
161	0.5916149365
162	0.5915282179
163	0.5910693943
164	0.5906989269
165	0.5904166935
166	0.5898709345
167	0.5891797154
168	0.588839293
169	0.5886739214
170	0.5885539172
171	0.5883579654
172	0.5878203978
173	0.5876532473
174	0.587184575
175	0.5869002882
176	0.5866993835
177	0.5864537825
178	0.5860696449
179	0.5854758317
180	0.5853478638
181	0.5850478599
182	0.5847992797
183	0.5845735888
184	0.584297653
185	0.5840219358
186	0.5837574604
187	0.5835650748
188	0.5833011605
189	0.5831627453
190	0.5830471955
191	0.5827364148
192	0.5825229852
193	0.5821466815
194	0.5820948006
195	0.5819371232
196	0.5817116919
197	0.581493957
198	0.5814312308
199	0.5810289638
200	0.5808940285
201	0.5807830348
202	0.5806354502
203	0.580377492
204	0.5801684282
205	0.5796942204
206	0.5795658579
207	0.5793159324
208	0.5788767559
209	0.5785305343
210	0.5783729275
211	0.5782572179
212	0.5778465802
213	0.5774563291
214	0.5773608722
215	0.5771466298
216	0.5769002115
217	0.5767004106
218	0.5765928895
219	0.5765452957
220	0.576449139
221	0.5762300965
222	0.5758297572
223	0.5753993964
224	0.5751563239
225	0.5749097549
226	0.5743558275
227	0.5740347459
228	0.5738022349
229	0.5735531198
230	0.5731172416
231	0.5728007699
232	0.5725287837
233	0.5723854677
234	0.5718830449
235	0.5714338697
236	0.5712281443
237	0.5708999174
238	0.5707710636
239	0.5704484997
240	0.5702956095
241	0.5701256025
242	0.5699927926
243	0.5694137704
244	0.5692088563
245	0.5691116557
246	0.5689012923
247	0.5686066347
248	0.5682763263
249	0.5681177132
250	0.567892054
251	0.5677143228
252	0.5675333184
253	0.5673345875
254	0.5671429021
255	0.567043937
256	0.5668219338
257	0.5666691342
258	0.5664241448
259	0.5660851161
260	0.5658738306
261	0.5653358126
262	0.5650443004
263	0.5649426461
264	0.5647541344
265	0.5646663911
266	0.5645717766
267	0.5643374214
268	0.5641850346
269	0.5640359722
270	0.5637742923
271	0.5634952679
272	0.5629649081
273	0.5628657605
274	0.5626608033
275	0.5620213046
276	0.5617903054
277	0.5613967174
278	0.5611314344
279	0.5608889063
280	0.5607434893
281	0.5603336868
282	0.5601887359
283	0.5601341011
284	0.5599737896
285	0.5594737094
286	0.559306623
287	0.5591260994
288	0.5589964202
289	0.558738296
290	0.5584138239
291	0.5582031364
292	0.5580005046
293	0.5578002867
294	0.5575509117
295	0.5574309798
296	0.5569776506
297	0.5568221965
298	0.5565560307
299	0.5564141057
300	0.5562579292
301	0.5559837145
302	0.5557065806
303	0.5556665058
304	0.5553354853
305	0.5551560183
306	0.5549235524
307	0.5543999762
308	0.5542473248
309	0.5541757613
310	0.5540090584
311	0.5536445406
312	0.5535014789
313	0.5533391731
314	0.5531124393
315	0.552888292
316	0.5522322747
317	0.5519631362
318	0.5518762362
319	0.5515451411
320	0.5512360098
321	0.5508103658
322	0.5504481236
323	0.550173647
324	0.5498678591
325	0.5496958504
326	0.5495734474
327	0.5494061485
328	0.5491013479
329	0.5488325363
330	0.5486032335
331	0.5485551488
332	0.5483439889
333	0.5479899068
334	0.547516353
335	0.5471127558
336	0.5469796257
337	0.5468545693
338	0.5465511933
339	0.5461504116
340	0.5459308782
341	0.5457586134
342	0.5454288179
343	0.545282527
344	0.5450991171
345	0.5448662402
346	0.5444214779
347	0.5440960852
348	0.5438523057
349	0.5436518748
350	0.5432719153
351	0.543009613
