iter	Logloss
352	0.5427746084
353	0.5425854099
354	0.5422738185
355	0.5421662596
356	0.5416208869
357	0.5414432087
358	0.541229743
359	0.5410107938
360	0.5407407366
361	0.5404579348
362	0.5402011418
363	0.5396759749
364	0.5390569943
365	0.5386375185
366	0.537939758
367	0.5372984706
368	0.5371450135
369	0.5369503626
370	0.5368692757
371	0.5365671503
372	0.5362464414
373	0.5357397792
374	0.5351926559
375	0.53499518
376	0.5346852739
377	0.5344744553
378	0.5341964326
379	0.5337092052
380	0.5333112501
381	0.5327592855
382	0.532274447
383	0.5321048583
384	0.53163864
385	0.5312707974
386	0.5310057379
387	0.5306165168
388	0.5305921009
389	0.5300810516
390	0.5297409129
391	0.5294098274
392	0.529082589
393	0.5285169002
394	0.5282144206
395	0.5279557343
396	0.5277124773
397	0.5273678748
398	0.5272143464
399	0.5270852766
400	0.526645255
401	0.5262339442
402	0.5255013682
403	0.5252891448
404	0.5249896545
405	0.5247421093
406	0.5245411637
407	0.5239534312
408	0.5236217208
409	0.5232829605
410	0.5227359464
411	0.5224504794
412	0.5220864292
413	0.5216849569
414	0.5212015149
415	0.5208495183
416	0.5204824663
417	0.5202474432
418	0.5197108765
419	0.5195627569
420	0.5191355451
421	0.5186774415
422	0.5184338318
423	0.5178549007
424	0.5172362149
425	0.5168029992
426	0.5165701206
427	0.5161884657
428	0.5156257737
429	0.5152740964
430	0.5148083659
431	0.5144382315
432	0.5139688879
433	0.5137462131
434	0.5133268876
435	0.5130547643
436	0.5127233007
437	0.5122128629
438	0.5117386876
439	0.5113268076
440	0.5108780557
441	0.5105604911
442	0.5098143827
443	0.5092185507
444	0.5088499897
445	0.5085604701
446	0.5081819402
447	0.5077974953
448	0.5074322626
449	0.5070333073
450	0.5065737239
451	0.5060055899
452	0.5054221076
453	0.5050337631
454	0.5047236496
455	0.5040814291
456	0.5034564652
457	0.5030930998
458	0.5028003912
459	0.5023820069
460	0.5021174956
461	0.5017631643
462	0.5014884364
463	0.5009039699
464	0.5005897365
465	0.5003612424
466	0.5000565882
467	0.4995221274
468	0.4990154376
469	0.4985565249
470	0.497973851
471	0.4977774956
472	0.4974474796
473	0.4970116169
474	0.4965507665
475	0.4961352388
476	0.4958125683
477	0.4953953157
478	0.4950800023
479	0.4946383436
480	0.4940385609
481	0.4936555414
482	0.4932521942
483	0.4928823857
484	0.4924027224
485	0.4920278356
486	0.4915636372
487	0.4911047978
488	0.4905933008
489	0.4903600346
490	0.4899944311
491	0.4895541085
492	0.4889443065
493	0.4884736636
494	0.4880240116
495	0.4874931897
496	0.4870268138
497	0.4865849249
498	0.4862560135
499	0.4855603932
500	0.4852272687
501	0.4848389911
502	0.484309055
503	0.4837478476
504	0.4834313554
505	0.4829944507
506	0.482617441
507	0.4822132005
508	0.481830538
509	0.4813014996
510	0.481072489
511	0.4806818299
512	0.4803166267
513	0.4798873097
514	0.4796047744
515	0.4792359759
516	0.4789732333
517	0.4787583223
518	0.4779846338
519	0.4776804489
520	0.4773669173
521	0.4770145933
522	0.4763885607
523	0.47618212
524	0.4759589038
525	0.4754848452
526	0.4750956273
527	0.4745433458
528	0.4739674194
529	0.4732810141
530	0.4728306432
531	0.4725197437
532	0.4720782249
533	0.4717865571
534	0.4714713438
535	0.4710079942
536	0.4707079036
537	0.4704342699
538	0.4700778679
539	0.46981111
540	0.4694059496
541	0.4689385661
542	0.4686333042
543	0.4682110536
544	0.4675467125
545	0.4672357368
546	0.466793825
547	0.4664782747
548	0.4661114365
549	0.465689252
550	0.4653314153
551	0.4648031295
552	0.4644459443
553	0.464195131
554	0.4637789467
555	0.4635131505
556	0.4632983475
557	0.4630085903
558	0.4626570525
559	0.4619416091
560	0.4615928821
561	0.4610324023
562	0.4606569285
563	0.4603196776
564	0.4597754847
565	0.4596461205
566	0.4595243
567	0.4593133144
568	0.4587750815
569	0.458347709
570	0.4578010205
571	0.4576436193
572	0.4574118118
573	0.4571696607
574	0.4567842404
575	0.4565563165
576	0.4562395443
577	0.455802985
578	0.4555474484
579	0.4552188606
580	0.4547899469
581	0.4543678367
582	0.4540615652
583	0.4537834311
584	0.4533962344
585	0.4528082379
586	0.4526943083
587	0.4523493992
